,LEARNED,STATIC,AC,LINRS,NRS
917,520.0,842.0,1683.0,7916.0,563.0
405,10000.0,182.0,496.0,956.0,714.0
896,1088.0,798.0,1525.0,142.0,168.0
173,657.0,624.0,10000.0,6335.0,1689.0
627,10000.0,711.0,251.0,1003.0,428.0
454,613.0,1628.0,399.0,869.0,231.0
780,1100.0,222.0,421.0,710.0,1820.0
490,367.0,1092.0,10000.0,1101.0,10000.0
375,285.0,391.0,2889.0,10000.0,327.0
466,305.0,2800.0,306.0,10000.0,635.0
416,432.0,1607.0,1739.0,563.0,89.0
72,674.0,641.0,2171.0,1448.0,90.0
630,652.0,596.0,10000.0,1695.0,1305.0
796,1579.0,10000.0,2171.0,1498.0,760.0
61,1821.0,186.0,631.0,699.0,649.0
359,5181.0,367.0,463.0,4252.0,475.0
621,405.0,311.0,10000.0,4911.0,2033.0
153,2158.0,128.0,1911.0,10000.0,1786.0
908,537.0,156.0,837.0,2119.0,194.0
255,304.0,301.0,1050.0,1930.0,218.0
43,3281.0,480.0,1128.0,607.0,213.0
880,149.0,365.0,1128.0,10000.0,1963.0
68,727.0,316.0,116.0,1228.0,10000.0
377,988.0,209.0,2681.0,5790.0,1152.0
281,379.0,778.0,441.0,2028.0,762.0
661,383.0,741.0,1718.0,297.0,535.0
179,267.0,511.0,900.0,4718.0,302.0
314,568.0,476.0,441.0,1506.0,189.0
824,153.0,340.0,2171.0,274.0,803.0
438,486.0,831.0,251.0,458.0,557.0
407,400.0,10000.0,1128.0,1901.0,10000.0
784,1255.0,156.0,1333.0,10000.0,2175.0
806,460.0,372.0,1684.0,884.0,7998.0
87,1451.0,352.0,660.0,281.0,4985.0
920,780.0,6581.0,168.0,361.0,439.0
856,177.0,705.0,462.0,923.0,10000.0
364,1603.0,1801.0,10000.0,598.0,525.0
741,7645.0,260.0,2306.0,402.0,1332.0
979,1527.0,1514.0,10000.0,2428.0,305.0
185,385.0,982.0,7606.0,311.0,2272.0
784,1255.0,156.0,1333.0,10000.0,2175.0
171,318.0,427.0,1088.0,1264.0,602.0
291,3549.0,10000.0,10000.0,10000.0,10000.0
894,2622.0,1298.0,1718.0,3696.0,1350.0
876,142.0,1288.0,10000.0,10000.0,10000.0
2,838.0,179.0,1718.0,364.0,418.0
190,236.0,466.0,10000.0,280.0,179.0
73,1777.0,337.0,1525.0,551.0,317.0
176,336.0,469.0,10000.0,886.0,1069.0
677,249.0,645.0,319.0,736.0,563.0
281,379.0,778.0,441.0,2028.0,762.0
325,504.0,3515.0,265.0,723.0,494.0
646,464.0,361.0,175.0,2577.0,2114.0
442,2824.0,1185.0,319.0,321.0,2866.0
585,253.0,897.0,837.0,10000.0,1570.0
15,381.0,179.0,755.0,2304.0,2362.0
423,354.0,594.0,8862.0,10000.0,2877.0
218,512.0,305.0,1333.0,392.0,10000.0
667,197.0,647.0,10000.0,8102.0,10000.0
711,1434.0,268.0,1739.0,147.0,305.0
401,459.0,331.0,168.0,1295.0,3847.0
735,515.0,326.0,5128.0,470.0,10000.0
63,1196.0,2807.0,1683.0,218.0,479.0
962,207.0,5594.0,10000.0,767.0,636.0
511,4809.0,832.0,235.0,598.0,295.0
753,607.0,99.0,4259.0,2326.0,512.0
422,87.0,857.0,10000.0,1947.0,10000.0
772,364.0,284.0,1243.0,288.0,10000.0
677,249.0,645.0,319.0,736.0,563.0
851,130.0,234.0,827.0,128.0,493.0
10,227.0,1883.0,10000.0,1616.0,340.0
856,177.0,705.0,462.0,923.0,10000.0
491,466.0,199.0,10000.0,303.0,401.0
272,1213.0,203.0,1683.0,3204.0,270.0
202,167.0,874.0,419.0,10000.0,448.0
480,10000.0,10000.0,1710.0,664.0,1342.0
667,197.0,647.0,10000.0,8102.0,10000.0
925,2628.0,805.0,2881.0,246.0,10000.0
868,2340.0,639.0,176.0,2819.0,1484.0
68,727.0,316.0,116.0,1228.0,10000.0
391,1584.0,319.0,1710.0,5132.0,10000.0
431,4289.0,378.0,10000.0,1960.0,1886.0
117,726.0,180.0,1088.0,3184.0,281.0
129,1824.0,217.0,10000.0,642.0,3801.0
404,263.0,340.0,10000.0,221.0,605.0
340,2494.0,1074.0,10000.0,438.0,2429.0
102,1488.0,1642.0,176.0,144.0,2450.0
173,657.0,624.0,10000.0,6335.0,1689.0
15,381.0,179.0,755.0,2304.0,2362.0
162,145.0,683.0,982.0,198.0,10000.0
21,304.0,394.0,4259.0,9207.0,405.0
297,2844.0,3276.0,311.0,414.0,213.0
768,1020.0,3365.0,2881.0,429.0,10000.0
732,131.0,322.0,372.0,4950.0,948.0
829,3805.0,483.0,72.0,98.0,580.0
157,1487.0,1020.0,421.0,1611.0,173.0
128,119.0,411.0,2827.0,10000.0,655.0
591,386.0,135.0,1088.0,957.0,766.0
594,1643.0,431.0,4832.0,151.0,10000.0
853,307.0,575.0,1998.0,10000.0,907.0
